Country,X2000,X2005,X2010,X2015,X2020,Region,Income
Afghanistan,..,..,..,..,..,South Asia,Low income
Albania,..,..,..,..,0.3,Europe and Central Asia,Upper middle income
Algeria,..,..,..,..,..,Middle East and North Africa,Upper middle income
American Samoa,..,..,..,..,..,East Asia and Pacific,High income
Andorra,..,..,..,7.3,5.8,Europe and Central Asia,High income
Angola,..,..,8.6,..,..,Sub-Saharan Africa,Lower middle income
Antigua and Barbuda,..,..,..,..,..,Latin America and Caribbean,High income
Argentina,..,..,..,..,..,Latin America and Caribbean,Upper middle income
Armenia,..,..,6.1,..,..,Europe and Central Asia,Upper middle income
Aruba,5.8,0.9,..,..,..,Latin America and Caribbean,High income
Australia,..,..,..,..,1,East Asia and Pacific,High income
Austria,1.1,0.6,1.3,1.4,1.1,Europe and Central Asia,High income
Azerbaijan,..,..,10.7,8.8,17.1,Europe and Central Asia,Upper middle income
"Bahamas, The",..,10.9,..,..,..,Latin America and Caribbean,High income
Bahrain,11.5,16.3,..,2.1,..,Middle East and North Africa,High income
Bangladesh,..,33.6,30.3,..,..,South Asia,Lower middle income
Barbados,..,..,6.8,..,6.1,Latin America and Caribbean,High income
Belarus,..,..,1.8,4.4,5.7,Europe and Central Asia,Upper middle income
Belgium,0.4,..,1.1,1.4,0.9,Europe and Central Asia,High income
Belize,8.2,6.2,12.2,10.4,14.3,Latin America and Caribbean,Upper middle income
Benin,..,..,..,..,40.8,Sub-Saharan Africa,Lower middle income
Bermuda,..,..,..,..,..,North America,High income
Bhutan,43.3,37,29.1,19.5,..,South Asia,Lower middle income
Bolivia,..,..,4.3,9.7,12.5,Latin America and Caribbean,Lower middle income
Bosnia and Herzegovina,..,..,..,7.4,5.1,Europe and Central Asia,Upper middle income
Botswana,12.4,..,..,..,..,Sub-Saharan Africa,Upper middle income
Brazil,..,..,..,4.6,4.5,Latin America and Caribbean,Upper middle income
British Virgin Islands,..,..,..,..,..,Latin America and Caribbean,High income
Brunei Darussalam,..,8.9,1.1,..,1.7,East Asia and Pacific,High income
Bulgaria,1.8,..,4.6,0.8,2.7,Europe and Central Asia,High income
