Country,X2000,X2005,X2010,X2015,X2020,Region,Income
Afghanistan,..,..,..,..,..,South Asia,Low income
Albania,..,..,..,0.5,2.8,Europe and Central Asia,Upper middle income
Algeria,..,..,..,..,..,Middle East and North Africa,Upper middle income
American Samoa,..,..,..,..,..,East Asia and Pacific,High income
Andorra,..,..,..,9.4,6,Europe and Central Asia,High income
Angola,..,..,19.3,..,..,Sub-Saharan Africa,Lower middle income
Antigua and Barbuda,..,..,..,1.5,..,Latin America and Caribbean,High income
Argentina,2,2.9,2.4,1.1,0.7,Latin America and Caribbean,Upper middle income
Armenia,..,13.1,6.8,..,0.5,Europe and Central Asia,Upper middle income
Aruba,8.3,3.6,..,..,..,Latin America and Caribbean,High income
Australia,..,..,..,0,0.6,East Asia and Pacific,High income
Austria,1.2,0.7,1.3,1.3,1.1,Europe and Central Asia,High income
Azerbaijan,..,..,11.6,9.8,17.1,Europe and Central Asia,Upper middle income
"Bahamas, The",..,13.7,..,..,..,Latin America and Caribbean,High income
Bahrain,10.1,12.1,..,2.2,..,Middle East and North Africa,High income
Bangladesh,..,29.9,27.2,..,..,South Asia,Lower middle income
Barbados,2,4.3,7.3,0.1,5.9,Latin America and Caribbean,High income
Belarus,..,0.3,1,5.4,6.4,Europe and Central Asia,Upper middle income
Belgium,0.6,0.3,1.3,1.6,1,Europe and Central Asia,High income
Belize,7,8.5,12.9,10.6,15.1,Latin America and Caribbean,Upper middle income
Benin,..,..,..,..,44.5,Sub-Saharan Africa,Lower middle income
Bermuda,..,..,..,..,..,North America,High income
Bhutan,45.9,37.2,22.4,14,..,South Asia,Lower middle income
Bolivia,2.8,1.1,4.5,9.8,12.4,Latin America and Caribbean,Lower middle income
Bosnia and Herzegovina,..,..,..,8.2,6.2,Europe and Central Asia,Upper middle income
Botswana,11.1,..,..,..,..,Sub-Saharan Africa,Upper middle income
Brazil,..,..,..,4.4,3.4,Latin America and Caribbean,Upper middle income
British Virgin Islands,5,..,..,0.6,..,Latin America and Caribbean,High income
Brunei Darussalam,..,8,1.1,1.7,1.2,East Asia and Pacific,High income
Bulgaria,2.9,0.6,4.7,1.5,2.7,Europe and Central Asia,High income
Burkina Faso,..,81.6,55.2,42.9,48.5,Sub-Saharan Africa,Low income
Burundi,..,..,26.2,31,33.3,Sub-Saharan Africa,Low income
Cabo Verde,..,4.4,11.5,15,17.1,Sub-Saharan Africa,Lower middle income
Cambodia,84.4,70,4.9,12.5,14.2,East Asia and Pacific,Lower middle income
Cameroon,..,..,..,34.8,48.4,Sub-Saharan Africa,Lower middle income
Canada,..,..,..,0.3,..,North America,High income
Cayman Islands,5.1,5.7,..,5.1,..,Latin America and Caribbean,High income
Central African Republic,..,..,..,..,..,Sub-Saharan Africa,Low income
Chad,71.7,..,..,60.6,..,Sub-Saharan Africa,Low income
Channel Islands,..,..,..,..,..,Europe and Central Asia,High income
Chile,..,..,3,3.3,2,Latin America and Caribbean,High income
China,..,..,..,..,..,East Asia and Pacific,Upper middle income
Colombia,..,10.1,2.9,4.6,2.6,Latin America and Caribbean,Upper middle income
Comoros,..,..,..,..,..,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",..,..,..,..,..,Sub-Saharan Africa,Low income
"Congo, Rep.",..,..,..,..,..,Sub-Saharan Africa,Lower middle income
Costa Rica,..,..,..,9.4,7.9,Latin America and Caribbean,Upper middle income
Cote d'Ivoire,..,..,..,53.2,45.2,Sub-Saharan Africa,Lower middle income
Croatia,..,0.5,0.7,..,..,Europe and Central Asia,High income
Cuba,2.3,1.9,3.7,5.6,7.1,Latin America and Caribbean,Upper middle income
Curacao,..,..,..,..,0.9,Latin America and Caribbean,High income
Cyprus,4.6,0.6,4,1.9,0.8,Europe and Central Asia,High income
Czechia,..,..,..,0.3,2,Europe and Central Asia,High income
Denmark,2.1,0.4,1.2,0.7,0.5,Europe and Central Asia,High income
Djibouti,..,..,..,..,..,Middle East and North Africa,Lower middle income
Dominica,0.7,..,2.8,6.6,14.8,Latin America and Caribbean,Upper middle income
Dominican Republic,15.7,6.5,8,1.9,8.3,Latin America and Caribbean,Upper middle income
Ecuador,29.6,27.1,14,2.8,6.9,Latin America and Caribbean,Upper middle income
"Egypt, Arab Rep.",..,..,..,..,9.6,Middle East and North Africa,Lower middle income
El Salvador,19.8,4.5,..,13.6,21.7,Latin America and Caribbean,Upper middle income
Equatorial Guinea,..,..,..,..,..,Sub-Saharan Africa,Upper middle income
Eritrea,33.1,31.8,40.9,42.7,..,Sub-Saharan Africa,Low income
Estonia,2.5,..,..,2.2,2.1,Europe and Central Asia,High income
Eswatini,..,..,10.5,0.4,..,Sub-Saharan Africa,Lower middle income
Ethiopia,65.1,52,42.2,48.4,..,Sub-Saharan Africa,Low income
Faroe Islands,..,..,..,..,..,Europe and Central Asia,High income
Fiji,10.9,..,..,0.5,2.2,East Asia and Pacific,Upper middle income
Finland,0.7,0.6,0.8,1.1,1.3,Europe and Central Asia,High income
France,5.2,0.9,0.6,2,0,Europe and Central Asia,High income
French Polynesia,..,..,..,..,..,East Asia and Pacific,High income
Gabon,..,..,..,..,..,Sub-Saharan Africa,Upper middle income
"Gambia, The",..,..,33.8,34,26.7,Sub-Saharan Africa,Low income
Georgia,..,7.5,..,1.7,1.2,Europe and Central Asia,Upper middle income
Germany,..,1.3,1.4,1.1,1.4,Europe and Central Asia,High income
Ghana,42.4,25.5,..,13,13.4,Sub-Saharan Africa,Lower middle income
Gibraltar,..,..,..,..,..,Europe and Central Asia,High income
Greece,1.6,8.8,1.3,3.3,3.4,Europe and Central Asia,High income
Greenland,..,..,..,..,..,Europe and Central Asia,High income
Grenada,..,9.9,..,0.8,..,Latin America and Caribbean,Upper middle income
Guam,..,..,..,..,..,East Asia and Pacific,High income
Guatemala,44.4,..,18.9,26.9,33.1,Latin America and Caribbean,Upper middle income
Guinea,..,55.7,51.1,52.9,51.9,Sub-Saharan Africa,Lower middle income
Guinea-Bissau,53.2,..,..,..,..,Sub-Saharan Africa,Low income
Guyana,..,..,..,..,17.1,Latin America and Caribbean,High income
Haiti,..,..,..,..,..,Latin America and Caribbean,Lower middle income
Honduras,..,..,..,38.6,44.6,Latin America and Caribbean,Lower middle income
"Hong Kong SAR, China",..,6.8,4.1,0.4,3.4,East Asia and Pacific,High income
Hungary,3.1,0.1,0.3,2.5,4.5,Europe and Central Asia,High income
Iceland,0.7,0.6,0.8,0.9,1.1,Europe and Central Asia,High income
India,..,..,..,..,11,South Asia,Lower middle income
Indonesia,..,20.2,15.9,..,6.7,East Asia and Pacific,Upper middle income
